yarn outdated v1.22.22
info Color legend : 
 "<red>"    : Major Update backward-incompatible updates 
 "<yellow>" : Minor Update backward-compatible features 
node-fetch                       2.7.0                                 2.7.0                                 3.3.2        gatsby-plugin-benchmark-reporting  dependencies           https://github.com/node-fetch/node-fetch                                  
node-fetch                       2.7.0                                 2.7.0                                 3.3.2        gatsby-source-contentful           dependencies           https://github.com/node-fetch/node-fetch                                  
node-fetch                       2.7.0                                 2.7.0                                 3.3.2        gatsby-source-graphql              dependencies           https://github.com/node-fetch/node-fetch                                  
node-fetch                       2.7.0                                 2.7.0                                 3.3.2        gatsby-source-shopify              dependencies           https://github.com/node-fetch/node-fetch                                  
node-fetch                       2.7.0                                 2.7.0                                 3.3.2        gatsby-source-wikipedia            dependencies           https://github.com/node-fetch/node-fetch                                  
node-fetch                       2.7.0                                 2.7.0                                 3.3.2        gatsby-source-wordpress            dependencies           https://github.com/node-fetch/node-fetch                                  
node-fetch                       2.7.0                                 2.7.0                                 3.3.2        gatsby-telemetry                   dependencies           https://github.com/node-fetch/node-fetch                                  
node-fetch                       2.7.0                                 2.7.0                                 3.3.2        gatsby                             dependencies           https://github.com/node-fetch/node-fetch                                  
p-queue                          7.4.1                                 7.4.1                                 8.0.1        gatsby-source-wordpress            dependencies           https://github.com/sindresorhus/p-queue#readme                            
p-queue                          6.6.2                                 6.6.2                                 8.0.1        gatsby-transformer-sqip            dependencies           https://github.com/sindresorhus/p-queue#readme                            
path-to-regexp                   0.1.7                                 0.1.7                                 6.2.1        gatsby                             dependencies           https://github.com/pillarjs/path-to-regexp#readme                         
pdf2json                         2.0.2                                 2.0.2                                 3.0.5        gatsby-transformer-pdf             dependencies           https://github.com/modesty/pdf2json                                       
postcss-loader                   7.3.4                                 7.3.4                                 8.1.1        gatsby-plugin-postcss              dependencies           https://github.com/webpack-contrib/postcss-loader                         
postcss-loader                   7.3.4                                 7.3.4                                 8.1.1        gatsby                             dependencies           https://github.com/webpack-contrib/postcss-loader                         
prettier                         2.8.8                                 2.8.8                                 3.2.5                                           devDependencies        https://prettier.io                                                       
prettier                         2.8.8                                 2.8.8                                 3.2.5        gatsby-source-wordpress            dependencies           https://prettier.io                                                       
query-string                     7.1.3                                 7.1.3                                 9.0.0        gatsby-remark-images               dependencies           https://github.com/sindresorhus/query-string#readme                       
query-string                     7.1.3                                 7.1.3                                 9.0.0        gatsby-source-mongodb              dependencies           https://github.com/sindresorhus/query-string#readme                       
query-string                     7.1.3                                 7.1.3                                 9.0.0        gatsby-source-wikipedia            dependencies           https://github.com/sindresorhus/query-string#readme                       
query-string                     7.1.3                                 7.1.3                                 9.0.0        gatsby                             dependencies           https://github.com/sindresorhus/query-string#readme                       
react-docgen                     5.4.3                                 5.4.3                                 7.0.3        gatsby-transformer-react-docgen    dependencies           https://github.com/reactjs/react-docgen#readme                            
